mar_emp,DiasMora,Factor,STOTAL,df_Life_M,utilizacion,prom_saldo_6m,prom_diasmora_6m,prom_df_life_M_6m,prom_utilizacion_6m,prom_saldo_12m,prom_diasmora_12m,prom_df_life_M_12m,prom_utilizacion_12m
0,0,0.5094934975,2020028.45,20,1.010014225,2019998.882,0,17.5,1.009999441,1945145.394,0,14.5,0.9725726971
0,60,1,534357.8,37,0.5089121905,838612.6983,15.16666667,34.5,0.7986787603,617179.7567,7.583333333,31.5,0.5877902444
0,58,1,2041624.19,13,1.015733428,2036147.137,14.33333333,10.5,1.013008526,1939957.961,7.166666667,7.5,0.9651532143
0,58,1,512966.73,13,0.51296673,929134.965,14.33333333,10.5,0.929134965,969984.67,7.166666667,7.5,0.96998467
0,87,1,512966.73,14,0.51296673,846130.9083,28.83333333,11.5,0.8461309083,928493.8242,14.41666667,8.5,0.9284938242
0,0,0.983608536,1015587.14,14,1.01558714,1012076.698,0,11.5,1.012076698,1012453.878,0,8.5,1.012453878
0,0,0.9834217649,1015780.02,16,1.01578002,1013633.365,0,13.5,1.013633365,1012885.753,0,10.5,1.012885753
0,0,0.9922985439,3032668.05,20,1.01088935,2652035.965,1.5,17.5,0.8840119883,2430728.927,1.083333333,14.5,0.8102429756
0,1,0.9918744932,3033964.59,22,1.01132153,2956065.96,1.666666667,19.5,0.98535532,2616286.887,1.166666667,16.5,0.8720956289
0,0,0.9916678944,3034596.67,23,1.011532223,3016292.58,1.666666667,20.5,1.00543086,2666994.33,1.166666667,17.5,0.88899811
0,5,0.9925673453,3031846.76,24,1.010615587,3033998.942,2.5,21.5,1.011332981,2692277.867,1.25,18.5,0.8974259556
0,22,1.02856083,2053121.67,15,1.026560835,2030462.692,3.666666667,12.5,1.015231346,2027859.043,1.833333333,9.5,1.013929521
0,50,1.013869736,2082871.65,16,1.041435825,2040055.608,12,13.5,1.020027804,2032695.827,6,10.5,1.016347913
0,0,2.669392341,116037.36,13,0.3867912,58783.85167,0,10.5,0.1959461722,134989.2356,0,8,0.4499641185
0,0,1.018548513,304108.48,19,1.013694933,223341.9117,0.1666666667,16.5,0.7444730389,141062.8817,0.08333333333,13.5,0.4702096056
0,27,0.7197159693,278140.32,12,0.7224423896,361830.2067,4.5,9.5,0.9398187186,333724.255,2.25,6.5,0.8668162468
0,0,1.040447345,4047854.8,13,1.0119637,4047192.835,0,10.5,1.011798209,4045486.842,0,7.5,1.01137171
0,0,1.040122221,4049120.09,16,1.012280023,4047124.013,0,13.5,1.011781003,4046606.385,0,10.5,1.011651596
0,0,1.040523922,4047556.9,19,1.011889225,4047544.062,0,16.5,1.011886015,4047368.448,0,13.5,1.011842112
0,0,1.04036971,3541612.29,19,1.011889226,3541601.058,0,16.5,1.011886017,3541322.784,0,13.5,1.01180651
0,0,1.03971627,3543838.12,21,1.012525177,3542759.258,0,18.5,1.012216931,3541653.625,0,15.5,1.011901036
0,0,1.040160321,3542325.23,24,1.012092923,3542892.405,0,21.5,1.012254973,3542268.453,0,18.5,1.012076701
0,27,1,1499614.35,12,0.9997429,1467284.385,4.5,9.5,0.97818959,1373864.644,2.25,6.5,0.9159097628
0,70,1,10331525.54,13,0.9839548133,10548662.48,19.16666667,10.5,1.004634521,10578742.92,9.583333333,7.5,1.007499326
0,32,1,1200000,12,1,1212961.828,19.16666667,9.5,1.010801524,1023189.855,9.583333333,6.5,0.8526582125
0,0,1.45167312,1117006.1,28,0.3723353667,888682.095,0,25.5,0.296227365,888682.095,0,25.5,0.296227365
0,0,1.051338099,1015852.58,12,1.01585258,1026145.212,18.16666667,9.5,1.026145212,1025990.218,23.16666667,6.5,1.025990218
0,0,1.052913054,1014333.06,14,1.01433306,1020771.617,8.833333333,11.5,1.020771617,1026245.318,23.16666667,8.5,1.026245318
0,0,1.03550568,2005142.58,12,1.00257129,1753521.287,0,9.5,0.8767606433,1370960.955,0,7.5,0.6854804775
0,0,1.012387836,2124572.79,18,1.011701329,2121695.885,0,15.5,1.010331374,2122663.933,0.25,12.5,1.010792349
0,25,1.002156329,2146263.6,23,1.022030286,2130617.368,8.833333333,20.5,1.014579699,2125795.861,4.666666667,17.5,1.012283743
0,0,0.9991504482,7879637.5,34,1.010209936,7209576.19,0,31.5,0.9243046397,7231118.166,0,28.5,0.9270664315
